,Player,Tm,Pos,Weighted_Score,Salary,
0,Donovan Mitchell,CLE,SG,0.917656," $31,831,634.00 ",
1,Derrick White,BOS,SG,0.798223," $17,651,858.00 ",
2,Zach LaVine,CHI,SG,0.759535," $38,197,960.00 ",
3,Kyrie Irving,DAL,SG,0.752825," $40,072,573.00 ",
4,Immanuel Quickley,NYK,SG,0.733209," $2,385,013.00 ",
5,Grayson Allen,MIL,SG,0.722513," $9,189,999.00 ",
6,De'Anthony Melton,PHI,SG,0.715916," $8,494,957.00 ",
7,Kevin Huerter,SAC,SG,0.705428," $14,939,724.00 ",
8,Spencer Dinwiddie,BRK,SG,0.682127," $20,078,989.00 ",
9,Quentin Grimes,NYK,SG,0.681874," $2,344,608.00 ",
10,Anthony Edwards,MIN,SG,0.674183," $11,052,093.00 ",
11,Tyrese Maxey,PHI,SG,0.667792," $2,807,845.00 ",
12,Kentavious Caldwell-Pope,DEN,SG,0.660612," $14,420,527.00 ",
13,Caris LeVert,CLE,SG,0.656816," $19,354,391.00 ",
14,Tyler Herro,MIA,SG,0.643051," $5,892,015.00 ",
15,Gary Trent Jr.,TOR,SG,0.642308," $17,793,073.00 ",
16,Coby White,CHI,SG,0.595973," $7,634,088.00 ",
17,Malik Beasley,LAL,SG,0.594269," $16,019,980.00 ",
18,Jalen Williams,OKC,SG,0.585752," $4,470,386.00 ",
19,Patrick Beverley,CHI,SG,0.56929," $14,211,408.00 ",
20,Dejounte Murray,ATL,SG,0.566298," $17,577,991.00 ",
21,Anfernee Simons,POR,SG,0.528452," $22,984,191.00 ",
22,Eric Gordon,LAC,SG,0.481016," $20,149,379.00 ",
23,Terry Rozier,CHO,SG,0.479746," $22,124,282.00 ",
24,Bradley Beal,WAS,SG,0.466728," $44,564,287.00 ",
25,Ayo Dosunmu,CHI,SG,0.458675," $1,609,941.00 ",
26,Jordan Clarkson,UTA,SG,0.449566," $13,736,088.00 ",
27,RJ Barrett,NYK,SG,0.445587," $11,224,293.00 ",
28,Jalen Green,HOU,SG,0.44286," $9,722,185.00 ",
29,Shaedon Sharpe,POR,SG,0.392126," $6,191,495.00 ",
30,Andrew Nembhard,IND,SG,0.381052," $2,310,742.00 ",
31,Bennedict Mathurin,IND,SG,0.376323," $6,782,373.00 ",
32,Jaden Ivey,DET,SG,0.334147," $7,467,530.00 ",
