,Player,Tm,Pos,Weighted_Score,Salary
0,Donovan Mitchell,CLE,SG,0.682145," $31,831,634.00 "
1,Derrick White,BOS,SG,0.574251," $17,651,858.00 "
2,Zach LaVine,CHI,SG,0.566679," $38,197,960.00 "
3,Kyrie Irving,DAL,SG,0.533271," $40,072,573.00 "
4,Immanuel Quickley,NYK,SG,0.525356," $2,385,013.00 "
5,Anthony Edwards,MIN,SG,0.523841," $11,052,093.00 "
6,De'Anthony Melton,PHI,SG,0.522685," $8,494,957.00 "
7,Desmond Bane,MEM,SG,0.508488," $2,193,490.00 "
8,Grayson Allen,MIL,SG,0.505643," $9,189,999.00 "
9,Kevin Huerter,SAC,SG,0.503574," $14,939,724.00 "
10,Donte DiVincenzo,GSW,SG,0.498444," $4,633,612.00 "
11,Spencer Dinwiddie,BRK,SG,0.493397," $20,078,989.00 "
12,Tyler Herro,MIA,SG,0.477597," $5,892,015.00 "
13,Quentin Grimes,NYK,SG,0.476658," $2,344,608.00 "
14,Caris LeVert,CLE,SG,0.476051," $19,354,391.00 "
15,Isaiah Joe,OKC,SG,0.473328," $1,890,606.00 "
16,Kentavious Caldwell-Pope,DEN,SG,0.470987," $14,420,527.00 "
17,Gary Trent Jr.,TOR,SG,0.458687," $17,793,073.00 "
18,Tyrese Maxey,PHI,SG,0.457845," $2,807,845.00 "
19,Malik Beasley,LAL,SG,0.445055," $16,019,980.00 "
20,Luke Kennard,MEM,SG,0.442526," $14,153,581.00 "
21,Devin Booker,PHO,SG,0.425613," $34,837,973.00 "
22,Coby White,CHI,SG,0.414921," $7,634,088.00 "
23,Dejounte Murray,ATL,SG,0.413654," $17,577,991.00 "
24,Jalen Williams,OKC,SG,0.409245," $4,470,386.00 "
25,Austin Reaves,LAL,SG,0.402308," $1,609,941.00 "
26,Patrick Beverley,CHI,SG,0.395695," $14,211,408.00 "
27,Bogdan Bogdanovic,ATL,SG,0.387351," $18,534,451.00 "
28,Malik Monk,SAC,SG,0.380185," $9,753,466.00 "
29,Damion Lee,PHO,SG,0.375238," $2,196,618.00 "
30,Gary Harris,ORL,SG,0.373614," $13,385,993.00 "
31,Anfernee Simons,POR,SG,0.371592," $22,984,191.00 "
32,Norman Powell,LAC,SG,0.37," $17,256,214.00 "
33,Terance Mann,LAC,SG,0.359964," $1,988,006.00 "
34,Terry Rozier,CHO,SG,0.353313," $22,124,282.00 "
35,Josh Okogie,PHO,SG,0.338339," $2,026,613.00 "
36,Stanley Umude,DET,SG,0.333," $60,229.00 "
37,Matisse Thybulle,POR,SG,0.327031," $4,509,561.00 "
38,Alec Burks,DET,SG,0.32687," $10,310,097.00 "
39,RJ Barrett,NYK,SG,0.325381," $11,224,293.00 "
40,Eric Gordon,LAC,SG,0.32361," $20,149,379.00 "
41,Ayo Dosunmu,CHI,SG,0.321762," $1,609,941.00 "
42,Lindy Waters III,OKC,SG,0.321672," $2,385,668.00 "
43,Josh Richardson,NOP,SG,0.321184," $12,558,217.00 "
44,Terrence Ross,PHO,SG,0.319843," $11,841,455.00 "
45,Jalen Green,HOU,SG,0.31727," $9,722,185.00 "
46,Jordan Clarkson,UTA,SG,0.315929," $13,736,088.00 "
47,Seth Curry,BRK,SG,0.311751," $8,748,933.00 "
48,Terence Davis,SAC,SG,0.305937," $4,118,767.00 "
49,Bradley Beal,WAS,SG,0.302459," $44,564,287.00 "
50,Garrison Mathews,ATL,SG,0.301215," $2,059,383.00 "
51,Josh Green,DAL,SG,0.299302," $3,190,397.00 "
52,Lonnie Walker IV,LAL,SG,0.299102," $6,671,373.00 "
53,A.J. Green,MIL,SG,0.298428," $524,000.00 "
54,Landry Shamet,PHO,SG,0.298313," $9,782,071.00 "
55,Jalen Suggs,ORL,SG,0.28522," $7,127,855.00 "
56,Aaron Wiggins,OKC,SG,0.284441," $1,609,941.00 "
57,Shake Milton,PHI,SG,0.28332," $2,057,033.00 "
58,Victor Oladipo,MIA,SG,0.277587," $9,009,803.00 "
59,Ochai Agbaji,UTA,SG,0.269867," $4,034,703.00 "
60,Nickeil Alexander-Walker,MIN,SG,0.269664," $5,158,377.00 "
